source_text,translated_text,context
Issue Split From,Tách từ sự cố,
Issue Type,Loại sự cố,
Issued,Đã phát hành,
Issues,Sự cố,
Issuing Date,Ngày phát hành,
It can take upto few hours for accurate stock values to be visible after merging items.,Có thể mất vài giờ để giá trị tồn kho chính xác hiển thị sau khi gộp mặt hàng.,
It is needed to fetch Item Details.,Cần thiết để lấy chi tiết mặt hàng.,
"It's not possible to distribute charges equally when total amount is zero, please set 'Distribute Charges Based On' as 'Quantity'","Không thể phân bổ phí đều khi tổng tiền bằng không, vui lòng đặt 'Phân bổ phí dựa trên' là 'Số lượng'",
Italic Text,Văn bản nghiêng,
Italic text for subtotals or notes,Chữ nghiêng cho tổng phụ hoặc ghi chú,
Item {} does not exist.,Mặt hàng {} không tồn tại.,
Item {0} added multiple times under the same parent item {1} at rows {2} and {3},Mặt hàng {0} được thêm nhiều lần dưới cùng mặt hàng cha {1} tại các dòng {2} và {3},
Item {0} cannot be added as a sub-assembly of itself,Mặt hàng {0} không thể thêm làm cụm lắp ráp của chính nó,
Item {0} cannot be ordered more than {1} against Blanket Order {2}.,Mặt hàng {0} không thể đặt hàng quá {1} theo Đơn hàng khung {2}.,
Item {0} does not exist,Mặt hàng {0} không tồn tại,
Item {0} does not exist in the system or has expired,Mặt hàng {0} không tồn tại trong hệ thống hoặc đã hết hạn,
Item {0} does not exist.,Mặt hàng {0} không tồn tại.,
Item {0} entered multiple times.,Mặt hàng {0} nhập nhiều lần.,
Item {0} has already been returned,Mặt hàng {0} đã được trả lại,
Item {0} has been disabled,Mặt hàng {0} đã bị vô hiệu hoá,
Item {0} has no Serial No. Only serialized items can have delivery based on Serial No,Mặt hàng {0} không có Số sê-ri. Chỉ mặt hàng có sê-ri mới được giao theo Số sê-ri,
Item {0} has reached its end of life on {1},Mặt hàng {0} đã hết vòng đời vào {1},
Item {0} ignored since it is not a stock item,Mặt hàng {0} bị bỏ qua vì không phải hàng tồn kho,
Item {0} is already reserved/delivered against Sales Order {1}.,Mặt hàng {0} đã được đặt giữ/giao theo Đơn bán hàng {1}.,
Item {0} is cancelled,Mặt hàng {0} đã bị huỷ,
Item {0} is disabled,Mặt hàng {0} đã bị vô hiệu hoá,
Item {0} is not a serialized Item,Mặt hàng {0} không phải hàng có số sê-ri,
Item {0} is not a stock Item,Mặt hàng {0} không phải hàng tồn kho,
Item {0} is not a subcontracted item,Mặt hàng {0} không phải hàng gia công ngoài,
Item {0} is not active or end of life has been reached,Mặt hàng {0} không hoạt động hoặc đã hết vòng đời,
Item {0} must be a Fixed Asset Item,Mặt hàng {0} phải là mặt hàng tài sản cố định,
Item {0} must be a non-stock item,Mặt hàng {0} phải là hàng phi tồn kho,
Item {0} must be a Non-Stock Item,Mặt hàng {0} phải là hàng phi tồn kho,
Item {0} must be a Sub-contracted Item,Mặt hàng {0} phải là hàng gia công ngoài,
Item {0} not found in 'Raw Materials Supplied' table in {1} {2},Mặt hàng {0} không tìm thấy trong bảng 'Nguyên liệu cung cấp' trong {1} {2},
Item {0} not found.,Không tìm thấy mặt hàng {0}.,
Item {0}: {1} qty produced.,Mặt hàng {0}: đã sản xuất {1}.,
Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,Mặt hàng {0}: SL đặt hàng {1} không được nhỏ hơn SL đặt hàng tối thiểu {2} (định nghĩa trong Mặt hàng).,
Item 2,Mặt hàng 2,
Item 3,Mặt hàng 3,
Item 4,Mặt hàng 4,
Item 5,Mặt hàng 5,
Item Alternative,Mặt hàng thay thế,
Item and Warehouse,Mặt hàng và Kho,
Item and Warranty Details,Chi tiết mặt hàng và bảo hành,
Item Attribute,Thuộc tính mặt hàng,
Item Attribute Value,Giá trị thuộc tính mặt hàng,
Item Attribute Values,Giá trị thuộc tính mặt hàng,
Item Barcode,Mã vạch mặt hàng,
Item Cart,Giỏ hàng,
Item Code (Final Product),Mã hàng (Thành phẩm cuối),
Item Code > Item Group > Brand,Mã hàng > Nhóm hàng > Thương hiệu,
Item Code cannot be changed for Serial No.,Mã hàng không thể thay đổi cho Số sê-ri,
Item Code required at Row No {0},Mã hàng bắt buộc tại dòng số {0},
Item Code: {0} is not available under warehouse {1}.,Mã hàng: {0} không có sẵn trong kho {1}.,
Item Customer Detail,Chi tiết khách hàng theo mặt hàng,
Item Default,Mặc định mặt hàng,
Item Defaults,Mặc định mặt hàng theo công ty,
Item Description,Mô tả mặt hàng,
Item Details,Chi tiết mặt hàng,
Item for row {0} does not match Material Request,Mặt hàng tại dòng {0} không khớp với Yêu cầu vật tư,
Item Group,Nhóm hàng,
Item Group Defaults,Mặc định nhóm hàng,
Item Group Name,Tên nhóm hàng,
Item Group not mentioned in item master for item {0},Chưa khai báo Nhóm hàng trong Danh mục mặt hàng cho mặt hàng {0},
Item Group Tree,Cây nhóm hàng,
Item Group wise Discount,Chiết khấu theo nhóm hàng,
Item Groups,Nhóm hàng,
Item has variants.,Mặt hàng có biến thể.,
Item Image (if not slideshow),Ảnh mặt hàng (nếu không dùng trình chiếu),
Item Information,Thông tin mặt hàng,
Item is mandatory in Raw Materials table.,Mặt hàng bắt buộc trong bảng nguyên vật liệu.,
Item is removed since no serial / batch no selected.,Mặt hàng đã bị xoá vì chưa chọn số sê-ri/số lô.,
Item Lead Time,Thời gian chờ theo mặt hàng,
Item Locations,Vị trí mặt hàng trong kho,
Item Manager,Quản lý mặt hàng,
Item Manufacturer,Nhà sản xuất mặt hàng,
Item must be added using 'Get Items from Purchase Receipts' button,Mặt hàng phải được thêm bằng nút 'Lấy mặt hàng từ Phiếu nhập kho',
Item name,Tên hàng,
Item Name,Tên hàng,
Item Naming By,Đặt tên hàng theo,
Item operation,Công đoạn theo mặt hàng,
Item Out of Stock,Mặt hàng hết tồn kho,
Item Price,Giá mặt hàng,
Item Price added for {0} in Price List {1},Đã thêm giá mặt hàng cho {0} trong Bảng giá {1},
Item Price Added for {0} in Price List {1},Đã thêm giá mặt hàng cho {0} trong Bảng giá {1},
"Item Price appears multiple times based on Price List, Supplier/Customer, Currency, Item, Batch, UOM, Qty, and Dates.","Giá mặt hàng xuất hiện nhiều lần dựa trên Bảng giá, NCC/Khách hàng, Tiền tệ, Mặt hàng, Lô, ĐVT, SL và Ngày.",
Item Price Settings,Cài đặt giá mặt hàng,
Item Price updated for {0} in Price List {1},Đã cập nhật giá mặt hàng cho {0} trong Bảng giá {1},
Item qty can not be updated as raw materials are already processed.,Không thể cập nhật SL mặt hàng vì nguyên liệu đã được xử lý.,
Item Quality Inspection Parameter,Tham số kiểm tra chất lượng mặt hàng,
Item rate has been updated to zero as Allow Zero Valuation Rate is checked for item {0},Đơn giá mặt hàng đã được cập nhật về 0 vì 'Cho phép giá định giá bằng 0' được chọn cho mặt hàng {0},
Item Reference,Tham chiếu mặt hàng,
Item Reorder,Đặt lại mặt hàng,
Item Row,Dòng mặt hàng,
Item Row {0}: {1} {2} does not exist in above '{1}' table,Dòng mặt hàng {0}: {1} {2} không tồn tại trong bảng '{1}' ở trên,
Item Serial No,Số sê-ri mặt hàng,
Item Supplier,NCC mặt hàng,
Item Tax,Thuế mặt hàng,
Item Tax Amount Included in Value,Tiền thuế mặt hàng đã bao gồm trong giá trị,
Item Tax Rate,Thuế suất mặt hàng,
Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable,"Dòng thuế mặt hàng {0} phải có tài khoản loại Thuế, Thu nhập, Chi phí hoặc Tính phí",
Item Tax Row {0}: Account must belong to Company - {1},Dòng thuế mặt hàng {0}: Tài khoản phải thuộc Công ty - {1},
Item Tax Template,Mẫu thuế hàng hoá,
Item Tax Template Detail,Chi tiết mẫu thuế hàng hoá,
Item to be manufactured or repacked,Mặt hàng cần sản xuất hoặc đóng gói lại,
Item to Manufacture,Mặt hàng cần sản xuất,
Item To Manufacture,Mặt hàng cần sản xuất,
Item UOM,ĐVT mặt hàng,
Item valuation rate is recalculated considering landed cost voucher amount,Giá định giá mặt hàng được tính lại có tính đến số tiền chứng từ chi phí nhập khẩu,
Item valuation reposting in progress. Report might show incorrect item valuation.,Đang đăng lại định giá mặt hàng. Báo cáo có thể hiển thị định giá không chính xác.,
Item Variant,Biến thể mặt hàng,
Item Variant {0} already exists with same attributes,Biến thể mặt hàng {0} đã tồn tại với cùng thuộc tính,
Item variant {0} exists with same attributes,Biến thể mặt hàng {0} đã tồn tại với cùng thuộc tính,
Item Variant Attribute,Thuộc tính biến thể mặt hàng,
Item Variant Settings,Cài đặt biến thể mặt hàng,
Item Variants updated,Đã cập nhật biến thể mặt hàng,
Item Warehouse based reposting has been enabled.,Đã bật đăng lại theo Mặt hàng-Kho.,
Item Website Specification,Thông số kỹ thuật mặt hàng trên web,
Item Weight Details,Chi tiết khối lượng mặt hàng,
Item Wise Tax Detail,Chi tiết thuế theo từng mặt hàng,
Item Wise Tax Details,Chi tiết thuế theo từng mặt hàng,
Item Wise Tax Details do not match with Taxes and Charges at the following rows:,Chi tiết thuế theo mặt hàng không khớp với Thuế và phí tại các dòng sau:,
Item-wise sales Register,Sổ bán hàng theo mặt hàng,
Item: {0} does not exist in the system,Mặt hàng: {0} không tồn tại trong hệ thống,
Item/Item Code required to get Item Tax Template.,Cần Mặt hàng/Mã hàng để lấy Mẫu thuế hàng hoá.,
Items {0} do not exist in the Item master.,Mặt hàng {0} không tồn tại trong Danh mục mặt hàng.,
Items & Pricing,Mặt hàng và Định giá,
Items and Pricing,Mặt hàng và Giá,
Items cannot be updated as Subcontracting Inward Order(s) exist against this Subcontracted Sales Order.,Không thể cập nhật mặt hàng vì đã có Lệnh gia công đến theo Đơn bán hàng gia công ngoài này.,
Items cannot be updated as Subcontracting Order is created against the Purchase Order {0}.,Không thể cập nhật mặt hàng vì Lệnh gia công đã được tạo theo Đơn mua hàng {0}.,
Items Catalogue,Danh mục mặt hàng,
Items Filter,Lọc mặt hàng,
Items for Raw Material Request,Mặt hàng cho Yêu cầu vật tư,
Items not found.,Không tìm thấy mặt hàng.,
Items rate has been updated to zero as Allow Zero Valuation Rate is checked for the following items: {0},Đơn giá mặt hàng đã cập nhật về 0 vì 'Cho phép giá định giá bằng 0' được chọn cho các mặt hàng: {0},
Items Required,Mặt hàng bắt buộc,
Items To Be Received,Mặt hàng cần nhận,
Items to Be Repost,Mặt hàng cần đăng lại,
Items to Manufacture are required to pull the Raw Materials associated with it.,Cần có Mặt hàng cần sản xuất để lấy nguyên vật liệu liên quan.,
Items to Order and Receive,Mặt hàng cần đặt và nhận,
Items to Reserve,Mặt hàng cần đặt giữ,
Items under this warehouse will be suggested,Mặt hàng trong kho này sẽ được gợi ý,
Itemwise Discount,Chiết khấu theo từng mặt hàng,
JAN,Tháng 1,
Job Capacity,Năng lực công việc,
Job Card,Phiếu công việc,
Job card {0} created,Đã tạo Phiếu công việc {0},
Job Card {0} has been completed,Phiếu công việc {0} đã hoàn thành,
Job Card and Capacity Planning,Phiếu công việc và lập kế hoạch năng lực,
Job Card Item,Mặt hàng phiếu công việc,
Job Card Operation,Thao tác phiếu công việc,
Job Card Scheduled Time,Thời gian lên lịch phiếu công việc,
Job Card Scrap Item,Phế liệu phiếu công việc,
Job Card Secondary Item,Mặt hàng phụ phiếu công việc,
Job Card Time Log,Nhật ký thời gian phiếu công việc,
Job Cards,Phiếu công việc,
Job Paused,Công việc đã tạm dừng,
Job Started,Công việc đã bắt đầu,
Job Title,Chức danh,
Job Worker,Bên gia công,
Job Worker Address,Địa chỉ bên gia công,
Job Worker Address Details,Chi tiết địa chỉ bên gia công,
Job Worker Contact,Liên hệ bên gia công,
Job Worker Currency,Tiền tệ bên gia công,
Job Worker Delivery Note,Phiếu giao hàng bên gia công,
Job Worker Name,Tên bên gia công,
Job Worker Warehouse,Kho bên gia công,
Job: {0} has been triggered for processing failed transactions,Tác vụ: {0} đã được kích hoạt để xử lý các giao dịch thất bại,
Joining,Vào làm,
Joule,Joule,
Joule/Meter,Joule/Mét,
Journal Entries,Bút toán,
Journal Entries {0} are un-linked,Bút toán {0} đã được huỷ liên kết,
Journal entries have been created,Đã tạo các bút toán,
Journal Entry,Bút toán,
Journal Entry {0} does not have account {1} or already matched against other voucher,Bút toán {0} không có tài khoản {1} hoặc đã đối chiếu với chứng từ khác,
Journal Entry Account,Tài khoản bút toán,
Journal Entry for Asset scrapping cannot be cancelled. Please restore the Asset.,Không thể huỷ bút toán thanh lý tài sản. Vui lòng khôi phục Tài sản.,
Journal Entry for Scrap,Bút toán cho phế liệu,
Journal Entry Template,Mẫu bút toán,
Journal Entry Template Account,Tài khoản mẫu bút toán,
Journal Entry Type,Loại bút toán,
Journal Entry type should be set as Depreciation Entry for asset depreciation,Loại bút toán phải được đặt là Bút toán khấu hao cho khấu hao tài sản,
Journals,Sổ nhật ký,
"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment.","Theo dõi Chiến dịch bán hàng. Theo dõi Khách hàng tiềm năng, Báo giá, Đơn bán hàng... từ các Chiến dịch để đánh giá Lợi tức đầu tư.",
Kelvin,Kelvin,
Key Reports,Báo cáo trọng yếu,
